iter	Passed	Remaining
0	0	91
1	1	88
2	2	82
3	3	80
4	5	101
5	8	136
6	9	126
7	10	118
8	11	112
9	11	106
10	12	102
11	13	98
12	14	95
13	15	92
14	16	90
15	17	89
16	17	87
17	19	89
18	23	99
19	24	96
20	24	94
21	25	91
22	26	88
23	27	86
24	28	84
25	28	82
26	29	80
27	30	78
28	31	76
29	32	75
30	33	73
31	35	74
32	38	77
33	38	75
34	39	73
35	40	71
36	41	70
37	42	68
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	47	56
46	49	56
47	52	57
48	53	55
49	54	54
50	55	53
51	56	51
52	57	50
53	57	49
54	58	47
55	59	46
56	60	45
57	60	44
58	61	42
59	62	41
60	64	41
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	72	34
68	73	33
69	74	31
70	75	30
71	75	29
72	76	28
73	77	27
74	78	26
75	80	25
76	83	24
77	84	23
78	85	22
79	86	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	91	13
87	92	12
88	94	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	105	0
